group,cps,travel_time,routed_distance,CO2e
0,False,637250810.0,2504785847.824539,191589207.88865075
0,True,17113212.0,80673323.85368288,6966633.078585203
1,False,2805916172.0,10966040457.992413,507059679.0250462
1,True,79629265.0,362973223.7537406,19070554.595091246
2,False,2793692791.0,10907631105.003983,505509160.3954217
2,True,75075648.0,338395233.1510357,17994392.89992652
