group,scen,persona,travel_time,routed_distance,CO2e,Cost
0,s0,29910,17113212.0,80673323.85368288,6966.633078585202,45390.366500391385
1,s1,33467,20545036.0,91146826.10128425,4773.718510325134,50372.02024232008
1,s2,32048,20823418.0,94852006.48809008,4942.270573807395,52124.44059442903
1,s3,30260,17431272.0,81438871.89237437,4350.195618783909,46222.39329995273
1,s4,33746,20829539.0,95535519.27199192,5004.369892174809,52883.7360728596
2,s5,33846,18902997.0,84382415.52767153,4505.488379505525,48151.91436127418
2,s6,32494,19022493.0,86030868.96846451,4597.904590415033,49219.560184518254
2,s7,30515,17319568.0,78817627.0532161,4218.874313692132,45257.212893695454
2,s8,34189,19830590.0,89164321.60168359,4672.125616313831,49905.590685621515
